FTC String,Code
Andhra Pradesh-Nagaland,902
Dadra and Nagar Haveli and Daman and Diu-Dadra and Nagar Haveli and Daman a,301
Default,0
Default,1
Madhya Pradesh-Tripura,446
Maharashtra-Lakshadweep,184
Maharashtra-Madhya Pradesh,185
Rajasthan-Meghalaya,449
Jharkhand-Assam,455
Jharkhand-Uttarakhand,356
Maharashtra-Maharashtra,186
Maharashtra-Manipur,187
Orissa-Uttarakhand,357
Rajasthan-Himachal Pradesh,373
Andaman and Nicobar Islands-Andaman and Nicobar Islands,334
Andaman and Nicobar Islands-Andaman and Nicobar Islands_SEZ,294
Andaman and Nicobar Islands-Delhi,647
Andaman and Nicobar Islands-Gujarat,701
Andaman and Nicobar Islands-Haryana,665
Andaman and Nicobar Islands-Karnataka,584
Andaman and Nicobar Islands-Ladakh,847
Andaman and Nicobar Islands-Madhya Pradesh,702
Andaman and Nicobar Islands-Maharashtra,705
Andaman and Nicobar Islands-Tamil Nadu,646
Andaman and Nicobar Islands-Uttar Pradesh,652
Andaman and Nicobar Islands-West Bengal,4
Andhra Pradesh-Andhra Pradesh,5
Andhra Pradesh-Andhra Pradesh_SEZ,295
Andhra Pradesh-Arunachal Pradesh,799
Andhra Pradesh-Assam,633
Andhra Pradesh-Bihar,588
Andhra Pradesh-Chandigarh,761
Andhra Pradesh-Chhattisgarh,613
Andhra Pradesh-Delhi,6
Andhra Pradesh-Goa,758
Andhra Pradesh-Gujarat,605
Andhra Pradesh-Haryana,8
Andhra Pradesh-Himachal Pradesh,725
Andhra Pradesh-Jharkhand,11
Andhra Pradesh-Karnataka,12
Andhra Pradesh-Kerala,598
Andhra Pradesh-Ladakh,848
Andhra Pradesh-Madhya Pradesh,622
Andhra Pradesh-Maharastra,13
Andhra Pradesh-Orissa,7
Andhra Pradesh-Punjab,10
Andhra Pradesh-Rajasthan,9
Andhra Pradesh-Tamil Nadu,597
Andhra Pradesh-Telangana,14
Andhra Pradesh-Uttar Pradesh,595
Andhra Pradesh-Uttarakhand,720
Andhra Pradesh-West Bengal,653
Arunachal Pradesh-Arunachal Pradesh,343
Arunachal Pradesh-Arunachal Pradesh_SEZ,296
Arunachal Pradesh-Assam,718
Arunachal Pradesh-Delhi,774
Arunachal Pradesh-Haryana,506
Arunachal Pradesh-Karnataka,747
Arunachal Pradesh-Ladakh,849
Arunachal Pradesh-Maharashtra,688
Arunachal Pradesh-Uttar Prades,772
Arunachal Pradesh-West Bengal,15
Arunachalpradesh-Meghalaya,790
Assam and Chandigarh,781
Assam-Andhra Pradesh,16
Assam-Arunachal Pradesh,17
Assam-Assam,18
Assam-Assam_SEZ,297
Assam-Bihar,424
Assam-Chhattisgarh,492
Assam-Delhi,398
Assam-Gujarat,19
Assam-Haryana,390
Assam-Himachal Pradesh,375
Assam-Jammu and Kashmir,670
Assam-Jharkhand,471
Assam-Karnataka,531
Assam-Kerala,540
Assam-Ladakh,850
Assam-Madhya Pradesh,502
Assam-Maharashtra,522
Assam-Manipur,20
Assam-Meghalaya,21
Assam-Mizoram,22
Assam-Nagaland,23
Assam-Orissa,783
Assam-Punjab,24
Assam-Rajasthan,406
Assam-Sikkim,25
Assam-Tamil Nadu,553
Assam-Telangana,566
Assam-Tripura,26
Assam-Uttar Pradesh,414
Assam-West Bengal,27
Bihar-Andaman and Nicobar Islands,558
Bihar-Andhra Pradesh,575
Bihar-Assam,454
Bihar-Bihar,28
Bihar-Bihar_SEZ,298
Bihar-Chandigarh,773
Bihar-Chhattisgarh,491
Bihar-Delhi,397
Bihar-Goa,722
Bihar-Gujarat,511
Bihar-Haryana,389
Bihar-Himachal Pradesh,735
Bihar-Jammu and Kashmir,637
Bihar-Jharkhand,29
Bihar-Karnataka,530
Bihar-Kerala,539
Bihar-Ladakh,851
Bihar-Madhya Pradesh,501
Bihar-Maharashtra,33
Bihar-Orissa,30
Bihar-Punjab,31
Bihar-Rajasthan,405
Bihar-Tamil Nadu,552
Bihar-Telangana,565
Bihar-Tripura,444
Bihar-Uttar Pradesh,34
Bihar-Uttarakhand,349
Bihar-West Bengal,32
Chandigarh-Bihar,766
Chandigarh-Chandigarh,330
Chandigarh-Chandigarh_SEZ,299
Chandigarh-Delhi,35
Chandigarh-Gujarat,744
Chandigarh-Haryana,740
Chandigarh-Himachal Pradesh,794
Chandigarh-Karnataka,765
Chandigarh-Kerala,760
Chandigarh-Ladakh,852
Chandigarh-Madhya Pradesh,759
Chandigarh-Maharashtra,741
Chandigarh-Orissa,769
Chandigarh-Punjab,743
Chandigarh-Rajasthan,767
Chandigarh-Tamil Nadu,742
Chandigarh-Telangana,762
Chandigarh-Uttar Pradesh,756
Chandigarh-West Bengal,763
Chatis-DN and Haveli,785
Chhattisgarh-Andhra Pradesh,577
Chhattisgarh-Arunachal Pradesh,800
Chhattisgarh-Assam,456
Chhattisgarh-Bihar,426
Chhattisgarh-Chhattisgarh,36
Chhattisgarh-Chhattisgarh_SEZ,300
Chhattisgarh-Delhi,400
Chhattisgarh-Gujarat,513
Chhattisgarh-Haryana,393
Chhattisgarh-Himachal Pradesh,376
Chhattisgarh-Jammu and Kashmir,640
Chhattisgarh-Jharkhand,473
Chhattisgarh-Karnataka,533
Chhattisgarh-Kerala,543
Chhattisgarh-Ladakh,853
Chhattisgarh-Madhya Pradesh,38
Chhattisgarh-Maharastra,37
Chhattisgarh-Orissa,482
Chhattisgarh-Punjab,39
Chhattisgarh-Rajasthan,409
Chhattisgarh-Tamil Nadu,556
Chhattisgarh-Telangana,568
Chhattisgarh-Uttar Pradesh,417
Chhattisgarh-Uttarakhand,358
Chhattisgarh-West Bengal,464
DN and Haveli-Chatis,786
DUMMY,615
DUMMY,614
DUMMY,348
DUMMY,645
Dadra and Nagar Haveli and Daman and Diu-Dadra and Nagar Haveli and Daman and Diu,333
Dadra and Nagar Haveli and Daman and Diu-Dadra and Nagar Haveli and Daman and Diu_SEZ,301
Dadra and Nagar Haveli and Daman and Diu-Ladakh,854
Dadra and Nagar Haveli-Dadra and Nagar Haveli,333
Dadra and Nagar Haveli-Dadra and Nagar Haveli_SEZ,301
Dadra and Nagar Haveli-Delhi,657
Dadra and Nagar Haveli-Gujarat,706
Dadra and Nagar Haveli-Haryana,656
